QUARTO;GARAGENS;BANHEIROS;AREA;BAIRRO;PRECO
2;1;3;80 a 110m2;Santa Cruz;0 a 300K
2;2;2;60 a 80m2;Horto Florestal;650K a 1M
3;1;3;80 a 110m2;Brotas;450K a 650K
2;2;2;80 a 110m2;Ondina;0 a 300K
3;1;3;60 a 80m2;Itapuã;300K a 450K
3;2;2;110 a 163m2;Pituba;650K a 1M
3;nan;2;110 a 163m2;Uruguai;0 a 300K
2;2;2;60 a 80m2;Pituba;650K a 1M
4;1;3;110 a 163m2;Jardim Apipema;450K a 650K
3;3;5ou+;163 a 4126m2;Graça;650K a 1M
4;4;4;163 a 4126m2;Horto Florestal;1M a 88M
3;2;2;163 a 4126m2;Rio Vermelho;300K a 450K
2;1;1;13 a 60m2;Jardim das Margaridas;0 a 300K
3;1;3;110 a 163m2;Pituba;450K a 650K
2;2;3;80 a 110m2;Horto Florestal;650K a 1M
2;2;2;60 a 80m2;Armação;300K a 450K
2;1;2;60 a 80m2;Pituba;450K a 650K
2;1;1;13 a 60m2;Sussuarana;0 a 300K
4;4;5ou+;163 a 4126m2;Horto Florestal;1M a 88M
3;2;2;80 a 110m2;Pituba;450K a 650K
1;1;1;13 a 60m2;Cassange;0 a 300K
2;1;1;60 a 80m2;Arraial do Retiro;0 a 300K
1;1;1;13 a 60m2;Ondina;450K a 650K
3;2;2;60 a 80m2;Brotas;450K a 650K
1;nan;1;13 a 60m2;Graça;0 a 300K
2;1;2;80 a 110m2;Costa Azul;0 a 300K
4;2;2;110 a 163m2;Barra;450K a 650K
4;3;4;110 a 163m2;Alphaville I;1M a 88M
2;2;1;80 a 110m2;Alphaville I;650K a 1M
4;3;4;163 a 4126m2;Barra;1M a 88M
3;2;4;80 a 110m2;Patamares;650K a 1M
3;1;3;80 a 110m2;Pituba;300K a 450K
2;nan;1;13 a 60m2;Pau da Lima;0 a 300K
2;2;3;110 a 163m2;Costa Azul;300K a 450K
2;1;2;13 a 60m2;Jardim das Margaridas;0 a 300K
4;3;3;163 a 4126m2;Alphaville I;1M a 88M
3;1;3;80 a 110m2;Rio Vermelho;300K a 450K
