;QUARTO_INFOS;GARAGEM_INFOS;BANHEIROS_INFOS;AREA_SEGMENTADA;BAIRRO;FAIXA_PRECOS
1487;3 quartos;1 vaga de garagem;2 banheiros;(110.0, 163.0];Barra;(1140000.0, 88000000.0]
1488;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(450000.0, 650000.0]
1491;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
1492;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituaçu;(1140000.0, 88000000.0]
1493;1 quarto;1 vaga de garagem;2 banheiros;(12.999, 60.0];Pituba;(-0.001, 300000.0]
1494;2 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Imbuí;(300000.0, 450000.0]
1495;4 quartos;4 vagas de garagem;4 banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
1496;3 quartos;;1 banheiro;(12.999, 60.0];Brotas;(-0.001, 300000.0]
1497;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Cajazeiras XI;(-0.001, 300000.0]
1498;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Ondina;(-0.001, 300000.0]
1499;2 quartos;;2 banheiros;(12.999, 60.0];Imbuí;(-0.001, 300000.0]
1500;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
1501;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
1502;1 quarto;2 vagas de garagem;2 banheiros;(110.0, 163.0];Ondina;(650000.0, 1140000.0]
1503;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
1504;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Stiep;(450000.0, 650000.0]
1505;3 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Pituba;(450000.0, 650000.0]
1506;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Patamares;(650000.0, 1140000.0]
1507;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Itapuã;(-0.001, 300000.0]
