;QUARTO_INFOS;GARAGEM_INFOS;BANHEIROS_INFOS;AREA_SEGMENTADA;BAIRRO;FAIXA_PRECOS
0;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
1;4 quartos;2 vagas de garagem;3 banheiros;(163.0, 4126.0];Graça;(450000.0, 650000.0]
2;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(450000.0, 650000.0]
3;1 quarto;1 vaga de garagem;1 banheiro;(60.0, 80.0];Pituba;(-0.001, 300000.0]
4;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
5;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Pituba;(450000.0, 650000.0]
6;2 quartos;;3 banheiros;(60.0, 80.0];Candeal;(300000.0, 450000.0]
7;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Pituba;(450000.0, 650000.0]
8;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Brotas;(-0.001, 300000.0]
9;4 quartos;;2 banheiros;(163.0, 4126.0];Pituba;(650000.0, 1140000.0]
10;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Rio Vermelho;(650000.0, 1140000.0]
11;4 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Canela;(650000.0, 1140000.0]
12;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
13;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Amaralina;(300000.0, 450000.0]
14;4 quartos;3 vagas de garagem;4 banheiros;(110.0, 163.0];Barbalho;(1140000.0, 88000000.0]
15;2 quartos;2 vagas de garagem;1 banheiro;(12.999, 60.0];Federação;(-0.001, 300000.0]
16;2 quartos;;1 banheiro;(12.999, 60.0];Engenho Velho da Federação;(-0.001, 300000.0]
17;4 quartos;3 vagas de garagem;2 banheiros;(110.0, 163.0];Itaigara;(1140000.0, 88000000.0]
18;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Vila Laura;(-0.001, 300000.0]
19;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Alphaville I;(300000.0, 450000.0]
20;2 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Jardim Apipema;(650000.0, 1140000.0]
21;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Brotas;(450000.0, 650000.0]
22;4 quartos;3 vagas de garagem;4 banheiros;(110.0, 163.0];Alphaville I;(1140000.0, 88000000.0]
23;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Caminho das Árvores;(450000.0, 650000.0]
24;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Piatã;(300000.0, 450000.0]
25;4 quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
26;2 quartos;;1 banheiro;(12.999, 60.0];Paralela;(-0.001, 300000.0]
27;2 quartos;2 vagas de garagem;4 banheiros;(80.0, 110.0];Horto Florestal;(650000.0, 1140000.0]
28;4 quartos;3 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Caminho das Árvores;(1140000.0, 88000000.0]
29;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Cabula;(300000.0, 450000.0]
30;2 quartos;1 vaga de garagem;3 banheiros;(12.999, 60.0];Imbuí;(450000.0, 650000.0]
31;3 quartos;2 vagas de garagem;4 banheiros;(80.0, 110.0];Candeal;(450000.0, 650000.0]
32;3 quartos;2 vagas de garagem;4 banheiros;(80.0, 110.0];Graça;(650000.0, 1140000.0]
33;3 quartos;2 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Comércio;(1140000.0, 88000000.0]
34;3 quartos;;2 banheiros;(60.0, 80.0];Jardim das Margaridas;(-0.001, 300000.0]
35;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Cabula;(-0.001, 300000.0]
36;2 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Armação;(450000.0, 650000.0]
37;3 quartos;3 vagas de garagem;3 banheiros;(110.0, 163.0];Caminho das Árvores;(1140000.0, 88000000.0]
38;4 quartos;2 vagas de garagem;3 banheiros;(163.0, 4126.0];Centro;(650000.0, 1140000.0]
39;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Armação;(300000.0, 450000.0]
40;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Alphaville I;(650000.0, 1140000.0]
41;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Imbuí;(650000.0, 1140000.0]
42;4 quartos;4 vagas de garagem;4 banheiros;(163.0, 4126.0];Candeal;(1140000.0, 88000000.0]
43;1 quarto;2 vagas de garagem;2 banheiros;(60.0, 80.0];Pituaçu;(450000.0, 650000.0]
44;2 quartos;2 vagas de garagem;1 banheiro;(12.999, 60.0];Jardim das Margaridas;(-0.001, 300000.0]
45;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Candeal;(650000.0, 1140000.0]
46;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Ondina;(1140000.0, 88000000.0]
47;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
48;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Candeal;(1140000.0, 88000000.0]
49;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Imbuí;(450000.0, 650000.0]
50;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Garcia;(300000.0, 450000.0]
51;2 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Costa Azul;(-0.001, 300000.0]
52;3 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Stiep;(450000.0, 650000.0]
53;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Pituba;(-0.001, 300000.0]
54;4 quartos;2 vagas de garagem;2 banheiros;(110.0, 163.0];Pituba;(450000.0, 650000.0]
55;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Graça;(650000.0, 1140000.0]
56;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Brotas;(-0.001, 300000.0]
57;1 quarto;;1 banheiro;(12.999, 60.0];Centro;(-0.001, 300000.0]
58;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Brotas;(300000.0, 450000.0]
59;3 quartos;1 vaga de garagem;1 banheiro;(80.0, 110.0];Pituba;(300000.0, 450000.0]
60;3 quartos;1 vaga de garagem;3 banheiros;(163.0, 4126.0];Barra;(1140000.0, 88000000.0]
61;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Stella Maris;(300000.0, 450000.0]
62;2 quartos;;1 banheiro;(12.999, 60.0];Pau da Lima;(-0.001, 300000.0]
63;2 quartos;2 vagas de garagem;3 banheiros;(60.0, 80.0];Pituaçu;(450000.0, 650000.0]
64;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Jaguaribe;(450000.0, 650000.0]
65;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Imbuí;(450000.0, 650000.0]
66;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Jardim Apipema;(300000.0, 450000.0]
67;4 quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Itaigara;(1140000.0, 88000000.0]
68;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Arraial do Retiro;(-0.001, 300000.0]
69;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Piatã;(-0.001, 300000.0]
70;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Costa Azul;(-0.001, 300000.0]
71;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Horto Florestal;(450000.0, 650000.0]
72;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Jardim Placaford;(-0.001, 300000.0]
73;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
74;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Horto Florestal;(650000.0, 1140000.0]
75;3 quartos;3 vagas de garagem;2 banheiros;(163.0, 4126.0];Itaigara;(1140000.0, 88000000.0]
76;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Federação;(300000.0, 450000.0]
77;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Pituba;(-0.001, 300000.0]
78;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Pituba;(450000.0, 650000.0]
79;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(650000.0, 1140000.0]
80;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Federação;(300000.0, 450000.0]
81;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Centro Administrativo da Bahia;(650000.0, 1140000.0]
82;1 quarto;2 vagas de garagem;2 banheiros;(80.0, 110.0];Caminho das Árvores;(450000.0, 650000.0]
83;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Piatã;(450000.0, 650000.0]
84;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Armação;(300000.0, 450000.0]
85;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Imbuí;(300000.0, 450000.0]
86;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Imbuí;(300000.0, 450000.0]
87;4 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Jardim Apipema;(650000.0, 1140000.0]
88;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Costa Azul;(-0.001, 300000.0]
89;2 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Luiz Anselmo;(-0.001, 300000.0]
90;2 quartos;;2 banheiros;(80.0, 110.0];Nazaré;(-0.001, 300000.0]
91;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(1140000.0, 88000000.0]
92;2 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Caminho das Árvores;(300000.0, 450000.0]
93;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Itaigara;(300000.0, 450000.0]
94;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Alphaville I;(650000.0, 1140000.0]
95;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Fazenda Grande II;(-0.001, 300000.0]
96;3 quartos;;2 banheiros;(80.0, 110.0];Garcia;(300000.0, 450000.0]
97;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Vila Laura;(-0.001, 300000.0]
98;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
99;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Caminho das Árvores;(300000.0, 450000.0]
100;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Garcia;(300000.0, 450000.0]
101;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Canela;(650000.0, 1140000.0]
102;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Rio Vermelho;(1140000.0, 88000000.0]
103;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Brotas;(-0.001, 300000.0]
104;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
105;3 quartos;1 vaga de garagem;2 banheiros;(110.0, 163.0];Itaigara;(450000.0, 650000.0]
106;3 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Garcia;(300000.0, 450000.0]
107;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Jardim Apipema;(-0.001, 300000.0]
108;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Caminho das Árvores;(1140000.0, 88000000.0]
109;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Santa Teresa;(-0.001, 300000.0]
110;3 quartos;;1 banheiro;(60.0, 80.0];Vila Ruy Barbosa;(-0.001, 300000.0]
111;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Graça;(300000.0, 450000.0]
112;2 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Santa Cruz;(-0.001, 300000.0]
113;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Horto Florestal;(650000.0, 1140000.0]
114;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Brotas;(450000.0, 650000.0]
115;2 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Ondina;(-0.001, 300000.0]
116;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Itapuã;(300000.0, 450000.0]
117;3 quartos;2 vagas de garagem;2 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
118;3 quartos;;2 banheiros;(110.0, 163.0];Uruguai;(-0.001, 300000.0]
119;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Pituba;(650000.0, 1140000.0]
120;4 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Jardim Apipema;(450000.0, 650000.0]
121;3 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Graça;(650000.0, 1140000.0]
122;4 quartos;4 vagas de garagem;4 banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
123;3 quartos;2 vagas de garagem;2 banheiros;(163.0, 4126.0];Rio Vermelho;(300000.0, 450000.0]
124;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Jardim das Margaridas;(-0.001, 300000.0]
125;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Pituba;(450000.0, 650000.0]
126;2 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Horto Florestal;(650000.0, 1140000.0]
127;2 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Armação;(300000.0, 450000.0]
128;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Pituba;(450000.0, 650000.0]
129;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Sussuarana;(-0.001, 300000.0]
130;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
131;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Pituba;(450000.0, 650000.0]
132;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Cassange;(-0.001, 300000.0]
133;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Arraial do Retiro;(-0.001, 300000.0]
134;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Ondina;(450000.0, 650000.0]
135;3 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Brotas;(450000.0, 650000.0]
136;1 quarto;;1 banheiro;(12.999, 60.0];Graça;(-0.001, 300000.0]
137;2 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Costa Azul;(-0.001, 300000.0]
138;4 quartos;2 vagas de garagem;2 banheiros;(110.0, 163.0];Barra;(450000.0, 650000.0]
139;4 quartos;3 vagas de garagem;4 banheiros;(110.0, 163.0];Alphaville I;(1140000.0, 88000000.0]
140;2 quartos;2 vagas de garagem;1 banheiro;(80.0, 110.0];Alphaville I;(650000.0, 1140000.0]
141;4 quartos;3 vagas de garagem;4 banheiros;(163.0, 4126.0];Barra;(1140000.0, 88000000.0]
142;3 quartos;2 vagas de garagem;4 banheiros;(80.0, 110.0];Patamares;(650000.0, 1140000.0]
143;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Pituba;(300000.0, 450000.0]
144;2 quartos;;1 banheiro;(12.999, 60.0];Pau da Lima;(-0.001, 300000.0]
145;2 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Costa Azul;(300000.0, 450000.0]
146;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Jardim das Margaridas;(-0.001, 300000.0]
147;4 quartos;3 vagas de garagem;3 banheiros;(163.0, 4126.0];Alphaville I;(1140000.0, 88000000.0]
148;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Rio Vermelho;(300000.0, 450000.0]
149;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Patamares;(1140000.0, 88000000.0]
150;2 quartos;;2 banheiros;(60.0, 80.0];Vila Laura;(-0.001, 300000.0]
151;4 quartos;;5 ou mais banheiros;(163.0, 4126.0];Jardim Apipema;(1140000.0, 88000000.0]
152;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
153;2 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Graça;(650000.0, 1140000.0]
154;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Cabula;(300000.0, 450000.0]
155;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Stiep;(-0.001, 300000.0]
156;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Pituba;(300000.0, 450000.0]
157;4 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Caminho das Árvores;(650000.0, 1140000.0]
158;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Graça;(650000.0, 1140000.0]
159;3 quartos;1 vaga de garagem;2 banheiros;(110.0, 163.0];Federação;(300000.0, 450000.0]
160;1 quarto;1 vaga de garagem;1 banheiro;(60.0, 80.0];Armação;(450000.0, 650000.0]
161;4 quartos;1 vaga de garagem;1 banheiro;(163.0, 4126.0];Graça;(450000.0, 650000.0]
162;3 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Centro Administrativo da Bahia;(650000.0, 1140000.0]
163;2 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Stiep;(450000.0, 650000.0]
164;1 quarto;2 vagas de garagem;2 banheiros;(60.0, 80.0];Caminho das Árvores;(450000.0, 650000.0]
165;2 quartos;3 vagas de garagem;3 banheiros;(60.0, 80.0];Federação;(650000.0, 1140000.0]
166;3 quartos;3 vagas de garagem;1 banheiro;(110.0, 163.0];Horto Bela Vista;(650000.0, 1140000.0]
167;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Vila Laura;(-0.001, 300000.0]
168;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Armação;(300000.0, 450000.0]
169;4 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
170;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Brotas;(450000.0, 650000.0]
171;3 quartos;2 vagas de garagem;4 banheiros;(80.0, 110.0];Patamares;(650000.0, 1140000.0]
172;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Candeal;(1140000.0, 88000000.0]
173;3 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Comércio;(1140000.0, 88000000.0]
174;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Piatã;(300000.0, 450000.0]
175;1 quarto;1 vaga de garagem;2 banheiros;(12.999, 60.0];Graça;(450000.0, 650000.0]
176;2 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Armação;(300000.0, 450000.0]
177;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Rio Vermelho;(-0.001, 300000.0]
178;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Brotas;(-0.001, 300000.0]
179;3 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Brotas;(-0.001, 300000.0]
180;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Pituba;(450000.0, 650000.0]
181;5 ou mais quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Ondina;(1140000.0, 88000000.0]
182;3 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Pituba;(650000.0, 1140000.0]
183;2 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Itaigara;(650000.0, 1140000.0]
184;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Brotas;(300000.0, 450000.0]
185;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Dois de Julho;(450000.0, 650000.0]
186;1 quarto;1 vaga de garagem;1 banheiro;(12.999, 60.0];Piatã;(300000.0, 450000.0]
187;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Patamares;(650000.0, 1140000.0]
188;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Pituba;(300000.0, 450000.0]
189;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Cabula;(300000.0, 450000.0]
190;4 quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Horto Florestal;(1140000.0, 88000000.0]
191;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Alphaville I;(650000.0, 1140000.0]
192;3 quartos;2 vagas de garagem;3 banheiros;(80.0, 110.0];Caminho das Árvores;(650000.0, 1140000.0]
193;4 quartos;3 vagas de garagem;4 banheiros;(163.0, 4126.0];Canela;(1140000.0, 88000000.0]
194;2 quartos;;2 banheiros;(80.0, 110.0];Nazaré;(-0.001, 300000.0]
195;5 ou mais quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Ondina;(1140000.0, 88000000.0]
196;2 quartos;2 vagas de garagem;2 banheiros;(80.0, 110.0];Armação;(650000.0, 1140000.0]
197;2 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Brotas;(-0.001, 300000.0]
198;2 quartos;1 vaga de garagem;2 banheiros;;Jardim das Margaridas;(-0.001, 300000.0]
199;4 quartos;5 ou mais vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Rio Vermelho;(1140000.0, 88000000.0]
200;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Pernambués;(300000.0, 450000.0]
201;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Costa Azul;(450000.0, 650000.0]
202;3 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Pituba;(650000.0, 1140000.0]
203;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Amaralina;(-0.001, 300000.0]
204;3 quartos;1 vaga de garagem;3 banheiros;(60.0, 80.0];Pituaçu;(450000.0, 650000.0]
205;3 quartos;2 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Graça;(1140000.0, 88000000.0]
206;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
207;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Pituba;(300000.0, 450000.0]
208;3 quartos;2 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Pituba;(1140000.0, 88000000.0]
209;3 quartos;1 vaga de garagem;2 banheiros;(110.0, 163.0];Itaigara;(450000.0, 650000.0]
210;3 quartos;3 vagas de garagem;3 banheiros;(110.0, 163.0];Pituba;(1140000.0, 88000000.0]
211;3 quartos;;2 banheiros;(60.0, 80.0];Vale dos Lagos;(-0.001, 300000.0]
212;4 quartos;2 vagas de garagem;3 banheiros;(163.0, 4126.0];Canela;(1140000.0, 88000000.0]
213;3 quartos;;2 banheiros;(80.0, 110.0];Engenho Velho de Brotas;(300000.0, 450000.0]
214;2 quartos;;1 banheiro;(12.999, 60.0];São Marcos;(-0.001, 300000.0]
215;3 quartos;2 vagas de garagem;3 banheiros;(163.0, 4126.0];Rio Vermelho;(450000.0, 650000.0]
216;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Patamares;(1140000.0, 88000000.0]
217;2 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Pituba;(450000.0, 650000.0]
218;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Itaigara;(450000.0, 650000.0]
219;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Imbuí;(-0.001, 300000.0]
220;2 quartos;2 vagas de garagem;5 ou mais banheiros;(110.0, 163.0];Pituaçu;(1140000.0, 88000000.0]
221;2 quartos;;2 banheiros;(60.0, 80.0];Federação;(-0.001, 300000.0]
222;2 quartos;;1 banheiro;(12.999, 60.0];Cabula;(-0.001, 300000.0]
223;2 quartos;1 vaga de garagem;1 banheiro;(12.999, 60.0];Mussurunga II;(-0.001, 300000.0]
224;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Pituba;(300000.0, 450000.0]
225;4 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Caminho das Árvores;(650000.0, 1140000.0]
226;4 quartos;2 vagas de garagem;4 banheiros;(163.0, 4126.0];Pituba;(650000.0, 1140000.0]
227;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Pituba;(450000.0, 650000.0]
228;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Brotas;(300000.0, 450000.0]
229;3 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Vila Laura;(300000.0, 450000.0]
230;3 quartos;3 vagas de garagem;4 banheiros;(110.0, 163.0];Horto Florestal;(650000.0, 1140000.0]
231;3 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Vila Laura;(450000.0, 650000.0]
232;3 quartos;1 vaga de garagem;3 banheiros;(80.0, 110.0];Armação;(450000.0, 650000.0]
233;3 quartos;2 vagas de garagem;4 banheiros;(110.0, 163.0];Pituba;(650000.0, 1140000.0]
234;3 quartos;1 vaga de garagem;3 banheiros;(110.0, 163.0];Graça;(450000.0, 650000.0]
235;4 quartos;3 vagas de garagem;4 banheiros;(110.0, 163.0];Caminho das Árvores;(650000.0, 1140000.0]
236;3 quartos;;4 banheiros;(110.0, 163.0];Jardim Placaford;(300000.0, 450000.0]
237;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Graça;(300000.0, 450000.0]
238;3 quartos;2 vagas de garagem;3 banheiros;(110.0, 163.0];Graça;(450000.0, 650000.0]
239;2 quartos;1 vaga de garagem;2 banheiros;(12.999, 60.0];Jardim Nova Esperança;(-0.001, 300000.0]
240;2 quartos;;1 banheiro;(60.0, 80.0];Nazaré;(-0.001, 300000.0]
241;3 quartos;2 vagas de garagem;2 banheiros;(60.0, 80.0];Saboeiro;(450000.0, 650000.0]
242;2 quartos;3 vagas de garagem;3 banheiros;(110.0, 163.0];Ondina;(1140000.0, 88000000.0]
243;3 quartos;1 vaga de garagem;1 banheiro;(60.0, 80.0];Stiep;(-0.001, 300000.0]
244;4 quartos;3 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Itaigara;(1140000.0, 88000000.0]
245;2 quartos;;1 banheiro;(12.999, 60.0];Canabrava;(-0.001, 300000.0]
246;2 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Campo Grande;(-0.001, 300000.0]
247;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Pituba;(-0.001, 300000.0]
248;3 quartos;2 vagas de garagem;1 banheiro;(110.0, 163.0];Candeal;(450000.0, 650000.0]
249;2 quartos;1 vaga de garagem;2 banheiros;(80.0, 110.0];Pituba;(300000.0, 450000.0]
250;4 quartos;4 vagas de garagem;5 ou mais banheiros;(163.0, 4126.0];Candeal;(650000.0, 1140000.0]
251;2 quartos;1 vaga de garagem;2 banheiros;(60.0, 80.0];Canela;(450000.0, 650000.0]
252;2 quartos;;1 banheiro;;Mussurunga I;(-0.001, 300000.0]
253;2 quartos;;1 banheiro;(60.0, 80.0];Saboeiro;(-0.001, 300000.0]
254;4 quartos;3 vagas de garagem;3 banheiros;(110.0, 163.0];Pituba;(1140000.0, 88000000.0]
